latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,confidence,version,bright_t31,frp,daynight
-24.195,-60.889,315.2,2.3,1.5,2021-02-12,0215,T,91,6.0NRT,289.3,43.4,N
-24.197,-60.911,327.2,2.3,1.5,2021-02-12,0215,T,100,6.0NRT,290.3,83.4,N
-22.898,-59.298,300.4,1.7,1.3,2021-02-12,0215,T,26,6.0NRT,289.9,8.6,N
-22.576,-59.178,300,1.6,1.3,2021-02-12,0215,T,10,6.0NRT,289.6,7.8,N
-20.872,-49.192,302.4,1.7,1.3,2021-02-12,0215,T,49,6.0NRT,269.5,16,N
35.815,-0.252,303.3,1,1,2021-02-12,0155,A,54,6.0NRT,285.5,8.3,N
31.693,6.183,306.3,1.8,1.3,2021-02-12,0155,A,68,6.0NRT,279.8,27.9,N
31.689,6.202,312.4,1.8,1.3,2021-02-12,0155,A,85,6.0NRT,279.9,38.3,N
31.71,5.974,304,1.8,1.3,2021-02-12,0155,A,58,6.0NRT,280.5,23.1,N
31.669,6.059,307.8,1.8,1.3,2021-02-12,0155,A,73,6.0NRT,283,28.9,N
31.692,5.819,316.2,1.7,1.3,2021-02-12,0155,A,75,6.0NRT,280.8,38.7,N
31.696,5.813,303.2,1.7,1.3,2021-02-12,0155,A,31,6.0NRT,280.9,19.5,N
31.685,5.81,303.9,1.7,1.3,2021-02-12,0155,A,57,6.0NRT,280,21.5,N
31.596,5.956,304.5,1.8,1.3,2021-02-12,0155,A,61,6.0NRT,279.3,24.7,N
31.593,5.974,300.8,1.8,1.3,2021-02-12,0155,A,33,6.0NRT,278.6,20.1,N
13.67,-13.405,302.8,3.4,1.7,2021-02-12,0200,A,52,6.0NRT,289,31.9,N
13.676,-13.412,300.6,3.4,1.7,2021-02-12,0200,A,31,6.0NRT,289.9,25.4,N
13.673,-13.381,305.4,3.4,1.7,2021-02-12,0200,A,64,6.0NRT,290.6,41.3,N
9.896,-9.364,300.3,1.5,1.2,2021-02-12,0200,A,17,6.0NRT,288.2,8.1,N
9.894,-9.351,300.7,1.5,1.2,2021-02-12,0200,A,27,6.0NRT,287.6,8.4,N
9.892,-9.358,302,1.5,1.2,2021-02-12,0200,A,46,6.0NRT,288.3,10.4,N
10.008,-10.566,300.8,1.8,1.3,2021-02-12,0200,A,34,6.0NRT,290.5,10.7,N
9.903,-9.936,308.5,1.6,1.3,2021-02-12,0200,A,75,6.0NRT,291.3,18.5,N
9.759,-8.932,325.9,1.4,1.2,2021-02-12,0200,A,100,6.0NRT,293.3,39,N
9.752,-8.939,313.8,1.4,1.2,2021-02-12,0200,A,88,6.0NRT,290.9,20,N
9.75,-8.926,314,1.4,1.2,2021-02-12,0200,A,88,6.0NRT,293.2,20.2,N
9.746,-9.533,305.8,1.5,1.2,2021-02-12,0200,A,66,6.0NRT,292.5,12.7,N
9.743,-9.527,303.2,1.5,1.2,2021-02-12,0200,A,48,6.0NRT,291.8,8.8,N
8.719,-8.787,301.8,1.3,1.1,2021-02-12,0200,A,44,6.0NRT,290,7.3,N
7.866,-3.835,302.7,1.1,1,2021-02-12,0200,A,51,6.0NRT,290.9,6.3,N
7.905,-4.282,305.1,1.1,1,2021-02-12,0200,A,63,6.0NRT,290.3,6.8,N
8.8,-10.747,306.5,1.8,1.3,2021-02-12,0200,A,68,6.0NRT,293.6,15.5,N
8.066,-6.106,306.1,1,1,2021-02-12,0200,A,67,6.0NRT,293.1,6.7,N
7.971,-5.529,307.8,1,1,2021-02-12,0200,A,73,6.0NRT,292.9,7.9,N
7.97,-5.52,304.6,1,1,2021-02-12,0200,A,61,6.0NRT,293.1,5.9,N
8.452,-9.214,312.2,1.4,1.2,2021-02-12,0200,A,84,6.0NRT,292.7,17.7,N
7.936,-8.146,305,1.2,1.1,2021-02-12,0200,A,63,6.0NRT,292.9,7.6,N
7.8,-7.502,304.4,1.1,1,2021-02-12,0200,A,60,6.0NRT,292.9,6.4,N
4.597,-3.135,305.2,1.3,1.1,2021-02-12,0200,A,24,6.0NRT,292.6,5.6,N
4.587,-3.137,305.7,1.3,1.1,2021-02-12,0200,A,36,6.0NRT,292.5,6.1,N
1.068,-60.18,303.3,1,1,2021-02-12,0225,T,55,6.0NRT,293.1,3.8,N
2.375,-60.95,318.4,1.1,1,2021-02-12,0225,T,97,6.0NRT,291.1,16.4,N
2.384,-60.951,352,1.1,1,2021-02-12,0225,T,100,6.0NRT,291.7,70.9,N
2.383,-60.96,338.5,1.1,1,2021-02-12,0225,T,100,6.0NRT,290.8,43.2,N
4.168,-61.477,304.9,1.1,1,2021-02-12,0225,T,62,6.0NRT,287.6,6.4,N
5.237,-61.398,302.4,1,1,2021-02-12,0225,T,49,6.0NRT,287.6,5.7,N
